web_name,product_names,prices,product_types,urls
herogame,Game Story of Season Pioneers of Olive Town Deluxe Edition - Nintendo Switch,"1,900,000₫",Game Nintendo Switch,https://www.herogame.vn/game-story-of-season-pioneers-of-olive-town-deluxe-edition-nintendo-switch
herogame,Game Ori And The WIll Of The Wisps - Nintendo Switch,"950,000₫",Game Nintendo Switch,https://www.herogame.vn/game-ori-and-the-will-of-the-wisps-nintendo-switch
herogame,Game Ys IX: Monstrum Nox - Nintendo Switch,"1,050,000₫",Game Nintendo Switch,https://www.herogame.vn/game-ys-ix-monstrum-nox-nintendo-switch
herogame,Game Ori And The Blind Forest - Nintendo Switch,"980,000₫",Game Nintendo Switch,https://www.herogame.vn/game-ori-and-the-blind-forest-nintendo-switch
herogame,Game Pokemon Sword + Sword Expansion Pass - Nintendo Switch,"1,900,000₫",Game Nintendo Switch,https://www.herogame.vn/game-pokemon-sword-sword-expansion-pass-nintendo-switch
herogame,Game The Legend of Heroes: Trial of Cold Steel IV - Nintendo Switch,"1,350,000₫",Game Nintendo Switch,https://www.herogame.vn/game-the-legend-of-heroes-trial-of-cold-steel-iv-nintendo-switch
herogame,Game Mortal Kombat 11 Ultimate - Nintendo Switch,"1,350,000₫",Game Nintendo Switch,https://www.herogame.vn/game-mortal-kombat-11-ultimate-nintendo-switch
herogame,Game Atelier Ryza 2 Lost Legends & The Secret Fairy - Nintendo Switch,"1,200,000₫",Game Nintendo Switch,https://www.herogame.vn/game-atelier-ryza-2-lost-legends-the-secret-fairy-nintendo-switch
herogame,Game The Survivalists - Nintendo Switch,"950,000₫",Game Nintendo Switch,https://www.herogame.vn/game-the-survivalists-nintendo-switch
herogame,Game Pokemon Shield + Shield Expansion Pass - Nintendo Switch,"1,900,000₫",Game Nintendo Switch,https://www.herogame.vn/game-pokemon-shield-shield-expansion-pass-nintendo-switch
herogame,Game Monster Hunter Rise - Nintendo Switch,"1,300,000₫",Game Nintendo Switch,https://www.herogame.vn/game-monster-hunter-rise-nintendo-switch
herogame,Game Ring Fit Adventure (Không kèm game) - Nintendo Switch,"950,000₫",Game Nintendo Switch,https://www.herogame.vn/game-ring-fit-adventure-khong-kem-game-nintendo-switch
herogame,Game Ni no Kuni 2: Revenant Kingdom — Prince’s Edition - Nintendo Switch,"1,300,000₫",Game Nintendo Switch,https://www.herogame.vn/game-ni-no-kuni-2-revenant-kingdom-princes-edition-nintendo-switch
herogame,Game Sakuna: Of Rice and Ruin Collector Edition - Nintendo Switch,"1,750,000₫",Game Nintendo Switch,https://www.herogame.vn/game-sakuna-of-rice-and-ruin-collector-edition-nintendo-switch
herogame,Game Harvest Moon: One World - Nintendo Switch,"1,200,000₫",Game Nintendo Switch,https://www.herogame.vn/game-harvest-moon-one-world-nintendo-switch
herogame,Game Stardew Valley - Nintendo Switch,"1,000,000₫",Game Nintendo Switch,https://www.herogame.vn/game-stardew-valley-nintendo-switch
herogame,Game NBA 2K21 - Nintendo Switch,"900,000₫",Game Nintendo Switch,https://www.herogame.vn/game-nba-2k21-nintendo-switch
herogame,Game Final Fantasy Crystal Chronicles Remastered Edition - Nintendo Switch,"1,300,000₫",Game Nintendo Switch,https://www.herogame.vn/game-final-fantasy-crystal-chronicles-remastered-edition-nintendo-switch
herogame,Game Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - Nintendo Switch,"1,200,000₫",Game Nintendo Switch,https://www.herogame.vn/game-cadence-of-hyrule-crypt-of-the-necrodancer-featuring-the-legend-of-zelda-nintendo-switch
herogame,Game The Wonderful 101 Remastered - Nintendo Switch,"1,000,000₫",Game Nintendo Switch,https://www.herogame.vn/game-the-wonderful-101-remastered-nintendo-switch
herogame,Game Human Fall Flat Anniversary Edition - Nintendo Switch,"850,000₫",Game Nintendo Switch,https://www.herogame.vn/game-human-fall-flat-anniversary-edition-nintendo-switch
nshop,GSW145 - Mario & Sonic at the Olympic Games Tokyo 2020 cho Nintendo Switch,"990,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/mario-sonic-at-the-olympic-games-tokyo-2020-nintendo-switch
